Time,Date,Merchant,Gateway,Amount,Status,UTR,TXID
3:03:45 PM,9/27/2024,gennpay,airpay,500,success,427197673951,430485075
3:04:15 PM,9/27/2024,gennpay,airpay,500,failed,427193959588,430485250
3:04:32 PM,9/27/2024,gennpay,airpay,500,success,751954464110,430485337
3:05:08 PM,9/27/2024,gennpay,airpay,500,success,427133405784,430485564
3:06:42 PM,9/27/2024,gennpay,airpay,500,success,427178135971,430486140
3:08:11 PM,9/27/2024,gennpay,airpay,500,success,427133566980,430486679
3:08:25 PM,9/27/2024,gennpay,airpay,500,success,427113845556,430486772
3:08:49 PM,9/27/2024,gennpay,airpay,1000,success,427109259334,430486926
3:09:02 PM,9/27/2024,gennpay,airpay,500,success,427153239724,430487001
3:09:31 PM,9/27/2024,gennpay,airpay,1300,success,081909578704,430487178
3:09:46 PM,9/27/2024,gennpay,airpay,520,success,427103289059,430487265
3:10:29 PM,9/27/2024,gennpay,airpay,1000,success,899643440341,430487535
3:12:10 PM,9/27/2024,gennpay,airpay,500,success,057349611178,430488190
3:12:42 PM,9/27/2024,gennpay,airpay,600,success,427112309900,430488379
3:13:03 PM,9/27/2024,gennpay,airpay,500,success,427134561406,430488542
3:13:26 PM,9/27/2024,gennpay,airpay,600,success,427118253979,430488668
3:14:13 PM,9/27/2024,gennpay,airpay,500,success,427173672132,430488937
3:15:53 PM,9/27/2024,gennpay,airpay,3000,success,427129837463,430489587
3:16:17 PM,9/27/2024,gennpay,airpay,3000,success,427179359690,430489752
3:16:36 PM,9/27/2024,gennpay,airpay,500,success,578641532851,430489876
5:20:56 PM,9/27/2024,gennpay,airpay,1000,failed,,430562208
5:21:15 PM,9/27/2024,gennpay,airpay,500,failed,,430562408
5:21:29 PM,9/27/2024,gennpay,airpay,500,success,734314262175,430562582
5:22:23 PM,9/27/2024,gennpay,airpay,1000,failed,,430563177
5:24:11 PM,9/27/2024,gennpay,airpay,500,success,427174227358,430564368
5:26:17 PM,9/27/2024,gennpay,airpay,2300,success,592069351532,430566106
5:27:45 PM,9/27/2024,gennpay,airpay,510,success,427194959807,430567311
5:28:48 PM,9/27/2024,gennpay,airpay,850,success,427163667780,430568259
5:28:55 PM,9/27/2024,gennpay,airpay,500,success,427176074741,430568377
